event_idx,t_s,dt_s,bpm_from_dt
59,2.065000,,
132,4.620000,2.555000,23.483366
213,7.455000,2.835000,21.164021
249,8.715000,1.260000,47.619048
283,9.905000,1.190000,50.420168
317,11.095000,1.190000,50.420168
351,12.285000,1.190000,50.420168
385,13.475000,1.190000,50.420168
420,14.700000,1.225000,48.979592
454,15.890000,1.190000,50.420168
517,18.095000,2.205000,27.210884
574,20.090000,1.995000,30.075188
613,21.455000,1.365000,43.956044
670,23.450000,1.995000,30.075188
736,25.760000,2.310000,25.974026
802,28.070000,2.310000,25.974026
871,30.485000,2.415000,24.844720
912,31.920000,1.435000,41.811847
968,33.880000,1.960000,30.612245
1033,36.155000,2.275000,26.373626
1096,38.360000,2.205000,27.210884
1140,39.900000,1.540000,38.961039
1185,41.475000,1.575000,38.095238
1232,43.120000,1.645000,36.474164
1290,45.150000,2.030000,29.556650
1329,46.515000,1.365000,43.956044
1383,48.405000,1.890000,31.746032
1417,49.595000,1.190000,50.420168
1467,51.345000,1.750000,34.285714
1524,53.340000,1.995000,30.075188
1585,55.475000,2.135000,28.103044
