event_idx,t_s,dt_s,bpm_from_dt
20,0.700000,,
92,3.220000,2.520000,23.809524
161,5.635000,2.415000,24.844720
276,9.660000,4.025000,14.906832
369,12.915000,3.255000,18.433180
448,15.680000,2.765000,21.699819
563,19.705000,4.025000,14.906832
627,21.945000,2.240000,26.785714
713,24.955000,3.010000,19.933555
771,26.985000,2.030000,29.556650
858,30.030000,3.045000,19.704433
924,32.340000,2.310000,25.974026
1019,35.665000,3.325000,18.045113
1102,38.570000,2.905000,20.654045
1213,42.455000,3.885000,15.444015
1314,45.990000,3.535000,16.973126
1422,49.770000,3.780000,15.873016
1518,53.130000,3.360000,17.857143
