event_idx,t_s,dt_s,bpm_from_dt
86,3.010000,,
202,7.070000,4.060000,14.778325
288,10.080000,3.010000,19.933555
392,13.720000,3.640000,16.483516
474,16.590000,2.870000,20.905923
568,19.880000,3.290000,18.237082
643,22.505000,2.625000,22.857143
734,25.690000,3.185000,18.838305
798,27.930000,2.240000,26.785714
863,30.205000,2.275000,26.373626
931,32.585000,2.380000,25.210084
1018,35.630000,3.045000,19.704433
1117,39.095000,3.465000,17.316017
1180,41.300000,2.205000,27.210884
1237,43.295000,1.995000,30.075188
1289,45.115000,1.820000,32.967033
1366,47.810000,2.695000,22.263451
1432,50.120000,2.310000,25.974026
1492,52.220000,2.100000,28.571429
1555,54.425000,2.205000,27.210884
