event_idx,t_s,dt_s,bpm_from_dt
71,2.485000,,
151,5.285000,2.800000,21.428571
263,9.205000,3.920000,15.306122
360,12.600000,3.395000,17.673049
449,15.715000,3.115000,19.261637
520,18.200000,2.485000,24.144869
658,23.030000,4.830000,12.422360
840,29.400000,6.370000,9.419152
918,32.130000,2.730000,21.978022
1058,37.030000,4.900000,12.244898
1178,41.230000,4.200000,14.285714
1306,45.710000,4.480000,13.392857
1414,49.490000,3.780000,15.873016
1510,52.850000,3.360000,17.857143
1581,55.335000,2.485000,24.144869
