event_idx,t_s,dt_s,bpm_from_dt
69,2.415000,,
157,5.495000,3.080000,19.480519
210,7.350000,1.855000,32.345013
294,10.290000,2.940000,20.408163
379,13.265000,2.975000,20.168067
463,16.205000,2.940000,20.408163
544,19.040000,2.835000,21.164021
610,21.350000,2.310000,25.974026
696,24.360000,3.010000,19.933555
759,26.565000,2.205000,27.210884
817,28.595000,2.030000,29.556650
891,31.185000,2.590000,23.166023
967,33.845000,2.660000,22.556391
1052,36.820000,2.975000,20.168067
1111,38.885000,2.065000,29.055690
1197,41.895000,3.010000,19.933555
1263,44.205000,2.310000,25.974026
1349,47.215000,3.010000,19.933555
1402,49.070000,1.855000,32.345013
1471,51.485000,2.415000,24.844720
