event_idx,t_s,dt_s,bpm_from_dt
22,0.770000,,
114,3.990000,3.220000,18.633540
214,7.490000,3.500000,17.142857
305,10.675000,3.185000,18.838305
392,13.720000,3.045000,19.704433
473,16.555000,2.835000,21.164021
545,19.075000,2.520000,23.809524
615,21.525000,2.450000,24.489796
692,24.220000,2.695000,22.263451
778,27.230000,3.010000,19.933555
846,29.610000,2.380000,25.210084
898,31.430000,1.820000,32.967033
1024,35.840000,4.410000,13.605442
1098,38.430000,2.590000,23.166023
1164,40.740000,2.310000,25.974026
1239,43.365000,2.625000,22.857143
1295,45.325000,1.960000,30.612245
1377,48.195000,2.870000,20.905923
1444,50.540000,2.345000,25.586354
1508,52.780000,2.240000,26.785714
1642,57.470000,4.690000,12.793177
