event_idx,t_s,dt_s,bpm_from_dt
11,0.385000,,
95,3.325000,2.940000,20.408163
219,7.665000,4.340000,13.824885
319,11.165000,3.500000,17.142857
435,15.225000,4.060000,14.778325
533,18.655000,3.430000,17.492711
639,22.365000,3.710000,16.172507
746,26.110000,3.745000,16.021362
849,29.715000,3.605000,16.643551
946,33.110000,3.395000,17.673049
1074,37.590000,4.480000,13.392857
1150,40.250000,2.660000,22.556391
1249,43.715000,3.465000,17.316017
1341,46.935000,3.220000,18.633540
1436,50.260000,3.325000,18.045113
1529,53.515000,3.255000,18.433180
