event_idx,t_s,dt_s,bpm_from_dt
126,4.410000,,
178,6.230000,1.820000,32.967033
222,7.770000,1.540000,38.961039
284,9.940000,2.170000,27.649770
335,11.725000,1.785000,33.613445
380,13.300000,1.575000,38.095238
425,14.875000,1.575000,38.095238
478,16.730000,1.855000,32.345013
518,18.130000,1.400000,42.857143
568,19.880000,1.750000,34.285714
622,21.770000,1.890000,31.746032
665,23.275000,1.505000,39.867110
712,24.920000,1.645000,36.474164
767,26.845000,1.925000,31.168831
812,28.420000,1.575000,38.095238
852,29.820000,1.400000,42.857143
900,31.500000,1.680000,35.714286
967,33.845000,2.345000,25.586354
1015,35.525000,1.680000,35.714286
1054,36.890000,1.365000,43.956044
1125,39.375000,2.485000,24.144869
1174,41.090000,1.715000,34.985423
1225,42.875000,1.785000,33.613445
1266,44.310000,1.435000,41.811847
1313,45.955000,1.645000,36.474164
1360,47.600000,1.645000,36.474164
1411,49.385000,1.785000,33.613445
1462,51.170000,1.785000,33.613445
1509,52.815000,1.645000,36.474164
1555,54.425000,1.610000,37.267081
