event_idx,t_s,dt_s,bpm_from_dt
33,1.155000,,
137,4.795000,3.640000,16.483516
233,8.155000,3.360000,17.857143
334,11.690000,3.535000,16.973126
433,15.155000,3.465000,17.316017
541,18.935000,3.780000,15.873016
642,22.470000,3.535000,16.973126
752,26.320000,3.850000,15.584416
864,30.240000,3.920000,15.306122
1018,35.630000,5.390000,11.131725
1087,38.045000,2.415000,24.844720
1188,41.580000,3.535000,16.973126
1290,45.150000,3.570000,16.806723
1403,49.105000,3.955000,15.170670
1503,52.605000,3.500000,17.142857
