event_idx,t_s,dt_s,bpm_from_dt
58,2.030000,,
159,5.565000,3.535000,16.973126
265,9.275000,3.710000,16.172507
349,12.215000,2.940000,20.408163
419,14.665000,2.450000,24.489796
557,19.495000,4.830000,12.422360
626,21.910000,2.415000,24.844720
713,24.955000,3.045000,19.704433
839,29.365000,4.410000,13.605442
921,32.235000,2.870000,20.905923
1006,35.210000,2.975000,20.168067
1102,38.570000,3.360000,17.857143
1206,42.210000,3.640000,16.483516
1319,46.165000,3.955000,15.170670
1434,50.190000,4.025000,14.906832
1582,55.370000,5.180000,11.583012
