event_idx,t_s,dt_s,bpm_from_dt
133,4.655000,,
268,9.380000,4.725000,12.698413
342,11.970000,2.590000,23.166023
411,14.385000,2.415000,24.844720
534,18.690000,4.305000,13.937282
631,22.085000,3.395000,17.673049
713,24.955000,2.870000,20.905923
792,27.720000,2.765000,21.699819
885,30.975000,3.255000,18.433180
964,33.740000,2.765000,21.699819
1065,37.275000,3.535000,16.973126
1176,41.160000,3.885000,15.444015
1252,43.820000,2.660000,22.556391
1344,47.040000,3.220000,18.633540
1483,51.905000,4.865000,12.332991
1565,54.775000,2.870000,20.905923
