event_idx,t_s,dt_s,bpm_from_dt
78,2.730000,,
178,6.230000,3.500000,17.142857
274,9.590000,3.360000,17.857143
364,12.740000,3.150000,19.047619
433,15.155000,2.415000,24.844720
508,17.780000,2.625000,22.857143
596,20.860000,3.080000,19.480519
755,26.425000,5.565000,10.781671
897,31.395000,4.970000,12.072435
978,34.230000,2.835000,21.164021
1076,37.660000,3.430000,17.492711
1164,40.740000,3.080000,19.480519
1259,44.065000,3.325000,18.045113
1341,46.935000,2.870000,20.905923
1461,51.135000,4.200000,14.285714
1551,54.285000,3.150000,19.047619
