event_idx,t_s,dt_s,bpm_from_dt
29,1.015000,,
86,3.010000,1.995000,30.075188
148,5.180000,2.170000,27.649770
215,7.525000,2.345000,25.586354
301,10.535000,3.010000,19.933555
378,13.230000,2.695000,22.263451
455,15.925000,2.695000,22.263451
521,18.235000,2.310000,25.974026
603,21.105000,2.870000,20.905923
674,23.590000,2.485000,24.144869
730,25.550000,1.960000,30.612245
819,28.665000,3.115000,19.261637
887,31.045000,2.380000,25.210084
954,33.390000,2.345000,25.586354
1032,36.120000,2.730000,21.978022
1108,38.780000,2.660000,22.556391
1185,41.475000,2.695000,22.263451
1229,43.015000,1.540000,38.961039
1310,45.850000,2.835000,21.164021
1366,47.810000,1.960000,30.612245
1465,51.275000,3.465000,17.316017
