event_idx,t_s,dt_s,bpm_from_dt
96,3.360000,,
186,6.510000,3.150000,19.047619
305,10.675000,4.165000,14.405762
393,13.755000,3.080000,19.480519
522,18.270000,4.515000,13.289037
613,21.455000,3.185000,18.838305
742,25.970000,4.515000,13.289037
852,29.820000,3.850000,15.584416
943,33.005000,3.185000,18.838305
1056,36.960000,3.955000,15.170670
1197,41.895000,4.935000,12.158055
1266,44.310000,2.415000,24.844720
1369,47.915000,3.605000,16.643551
1452,50.820000,2.905000,20.654045
1551,54.285000,3.465000,17.316017
