event_idx,t_s,dt_s,bpm_from_dt
54,1.890000,,
112,3.920000,2.030000,29.556650
190,6.650000,2.730000,21.978022
266,9.310000,2.660000,22.556391
344,12.040000,2.730000,21.978022
430,15.050000,3.010000,19.933555
523,18.305000,3.255000,18.433180
585,20.475000,2.170000,27.649770
648,22.680000,2.205000,27.210884
714,24.990000,2.310000,25.974026
789,27.615000,2.625000,22.857143
866,30.310000,2.695000,22.263451
941,32.935000,2.625000,22.857143
1020,35.700000,2.765000,21.699819
1105,38.675000,2.975000,20.168067
1194,41.790000,3.115000,19.261637
1274,44.590000,2.800000,21.428571
1367,47.845000,3.255000,18.433180
1452,50.820000,2.975000,20.168067
1530,53.550000,2.730000,21.978022
