file,src,duration_s,events,T0_med_s,est_bpm,bpm_out,has_breath,confidence,max_votes,mean_votes,peak_ratio,band_ratio,crop_start_idx,crop_end_idx,crop_len,out_csv,out_png
7_mix,RDI,57.330000,20,3.001250,22.556391,22.556391,True,0.900000,12.000000,0.229548,52.276596,0.502907,77,1715,1638,C:\Users\macho\Desktop\py389\0122T\out_gated_all\7_mix_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\7_mix_plot.png
7_move,RDI,56.770000,11,6.002500,14.226437,14.226437,True,0.900000,12.000000,0.150432,79.770491,0.768591,93,1715,1622,C:\Users\macho\Desktop\py389\0122T\out_gated_all\7_move_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\7_move_plot.png
7_talk,RDI,57.750000,16,4.001667,18.633540,18.633540,True,0.900000,12.000000,0.169697,70.714285,0.691219,65,1715,1650,C:\Users\macho\Desktop\py389\0122T\out_gated_all\7_talk_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\7_talk_plot.png
8_16_normal,RDI,57.505000,18,3.001250,20.408163,20.408163,True,0.900000,12.000000,0.231284,51.884210,0.738000,72,1715,1643,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_16_normal_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_16_normal_plot.png
8_17,RDI,58.205000,16,4.001667,16.973126,16.973126,True,0.900000,12.000000,0.187613,63.961538,0.739776,52,1715,1663,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_17_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_17_plot.png
8_26_fast,RDI,57.470000,23,2.401000,25.210084,25.210084,True,0.888533,12.000000,0.287454,41.745763,0.440172,73,1715,1642,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_26_fast_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_26_fast_plot.png
8_9_slow,RDI,57.505000,15,4.001667,16.973126,16.973126,True,0.900000,12.000000,0.160682,74.681818,0.896426,72,1715,1643,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_9_slow_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_9_slow_plot.png
8_mix,RDI,57.820000,20,2.401000,22.263451,22.263451,True,0.900000,12.000000,0.263923,45.467890,0.758684,63,1715,1652,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_mix_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_mix_plot.png
8_move,RDI,57.820000,17,3.001250,17.857143,17.857143,True,0.900000,12.000000,0.174334,68.833333,0.951213,63,1715,1652,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_move_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_move_plot.png
8_talk,RDI,57.015000,12,6.002500,12.987013,12.987013,True,0.900000,12.000000,0.166974,71.867647,0.606688,86,1715,1629,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_talk_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\8_talk_plot.png
9_16,RDI,58.170000,17,4.001667,17.582418,17.582418,True,0.900000,12.000000,0.202166,59.357143,0.678660,53,1715,1662,C:\Users\macho\Desktop\py389\0122T\out_gated_all\9_16_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\9_16_plot.png
J1_fast1,RDI,58.135000,33,2.000833,35.346097,35.346097,True,0.900000,12.000000,0.313064,38.330769,0.517844,54,1715,1661,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J1_fast1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J1_fast1_plot.png
J1_normal1,RDI,57.715000,12,6.002500,12.698413,12.698413,True,0.900000,12.000000,0.181928,65.960000,0.637190,66,1715,1649,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J1_normal1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J1_normal1_plot.png
J2_fast2,RDI,58.065000,29,2.000833,31.168831,31.168831,True,0.900000,12.000000,0.272453,44.044248,0.657183,56,1715,1659,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J2_fast2_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J2_fast2_plot.png
J2_normal2,RDI,57.750000,18,3.001250,19.704433,19.704433,True,0.900000,12.000000,0.227879,52.659574,0.667966,65,1715,1650,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J2_normal2_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J2_normal2_plot.png
J3_fast3,RDI,58.065000,20,3.001250,22.857143,22.857143,True,0.900000,12.000000,0.253165,47.400000,0.508772,56,1715,1659,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J3_fast3_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J3_fast3_plot.png
J3_normal3,RDI,57.785000,17,3.001250,19.261637,19.261637,True,0.900000,12.000000,0.225318,53.258064,0.608952,64,1715,1651,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J3_normal3_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J3_normal3_plot.png
