event_idx,t_s,dt_s,bpm_from_dt
15,0.525000,,
98,3.430000,2.905000,20.654045
199,6.965000,3.535000,16.973126
285,9.975000,3.010000,19.933555
367,12.845000,2.870000,20.905923
457,15.995000,3.150000,19.047619
552,19.320000,3.325000,18.045113
650,22.750000,3.430000,17.492711
766,26.810000,4.060000,14.778325
853,29.855000,3.045000,19.704433
987,34.545000,4.690000,12.793177
1086,38.010000,3.465000,17.316017
1178,41.230000,3.220000,18.633540
1267,44.345000,3.115000,19.261637
1365,47.775000,3.430000,17.492711
1467,51.345000,3.570000,16.806723
1568,54.880000,3.535000,16.973126
