event_idx,t_s,dt_s,bpm_from_dt
51,1.785000,,
223,7.805000,6.020000,9.966777
326,11.410000,3.605000,16.643551
399,13.965000,2.555000,23.483366
481,16.835000,2.870000,20.905923
578,20.230000,3.395000,17.673049
671,23.485000,3.255000,18.433180
780,27.300000,3.815000,15.727392
894,31.290000,3.990000,15.037594
968,33.880000,2.590000,23.166023
1068,37.380000,3.500000,17.142857
1162,40.670000,3.290000,18.237082
1265,44.275000,3.605000,16.643551
1391,48.685000,4.410000,13.605442
1522,53.270000,4.585000,13.086150
1644,57.540000,4.270000,14.051522
