event_idx,t_s,dt_s,bpm_from_dt
69,2.415000,,
193,6.755000,4.340000,13.824885
327,11.445000,4.690000,12.793177
457,15.995000,4.550000,13.186813
541,18.935000,2.940000,20.408163
694,24.290000,5.355000,11.204482
763,26.705000,2.415000,24.844720
840,29.400000,2.695000,22.263451
919,32.165000,2.765000,21.699819
991,34.685000,2.520000,23.809524
1083,37.905000,3.220000,18.633540
1156,40.460000,2.555000,23.483366
1282,44.870000,4.410000,13.605442
1351,47.285000,2.415000,24.844720
1521,53.235000,5.950000,10.084034
