event_idx,t_s,dt_s,bpm_from_dt
47,1.645000,,
101,3.535000,1.890000,31.746032
158,5.530000,1.995000,30.075188
211,7.385000,1.855000,32.345013
270,9.450000,2.065000,29.055690
329,11.515000,2.065000,29.055690
387,13.545000,2.030000,29.556650
437,15.295000,1.750000,34.285714
472,16.520000,1.225000,48.979592
513,17.955000,1.435000,41.811847
560,19.600000,1.645000,36.474164
616,21.560000,1.960000,30.612245
675,23.625000,2.065000,29.055690
733,25.655000,2.030000,29.556650
808,28.280000,2.625000,22.857143
851,29.785000,1.505000,39.867110
911,31.885000,2.100000,28.571429
968,33.880000,1.995000,30.075188
1026,35.910000,2.030000,29.556650
1087,38.045000,2.135000,28.103044
1139,39.865000,1.820000,32.967033
1197,41.895000,2.030000,29.556650
1260,44.100000,2.205000,27.210884
1303,45.605000,1.505000,39.867110
1369,47.915000,2.310000,25.974026
1415,49.525000,1.610000,37.267081
1483,51.905000,2.380000,25.210084
1551,54.285000,2.380000,25.210084
1596,55.860000,1.575000,38.095238
