event_idx,t_s,dt_s,bpm_from_dt
207,7.245000,,
300,10.500000,3.255000,18.433180
376,13.160000,2.660000,22.556391
440,15.400000,2.240000,26.785714
513,17.955000,2.555000,23.483366
574,20.090000,2.135000,28.103044
649,22.715000,2.625000,22.857143
718,25.130000,2.415000,24.844720
788,27.580000,2.450000,24.489796
858,30.030000,2.450000,24.489796
921,32.235000,2.205000,27.210884
994,34.790000,2.555000,23.483366
1065,37.275000,2.485000,24.144869
1139,39.865000,2.590000,23.166023
1210,42.350000,2.485000,24.144869
1282,44.870000,2.520000,23.809524
1387,48.545000,3.675000,16.326531
1459,51.065000,2.520000,23.809524
