event_idx,t_s,dt_s,bpm_from_dt
110,3.850000,,
173,6.055000,2.205000,27.210884
240,8.400000,2.345000,25.586354
306,10.710000,2.310000,25.974026
359,12.565000,1.855000,32.345013
429,15.015000,2.450000,24.489796
494,17.290000,2.275000,26.373626
619,21.665000,4.375000,13.714286
712,24.920000,3.255000,18.433180
776,27.160000,2.240000,26.785714
877,30.695000,3.535000,16.973126
931,32.585000,1.890000,31.746032
1026,35.910000,3.325000,18.045113
1143,40.005000,4.095000,14.652015
1229,43.015000,3.010000,19.933555
1306,45.710000,2.695000,22.263451
1366,47.810000,2.100000,28.571429
1463,51.205000,3.395000,17.673049
1545,54.075000,2.870000,20.905923
