event_idx,t_s,dt_s,bpm_from_dt
68,2.380000,,
131,4.585000,2.205000,27.210884
189,6.615000,2.030000,29.556650
252,8.820000,2.205000,27.210884
324,11.340000,2.520000,23.809524
392,13.720000,2.380000,25.210084
473,16.555000,2.835000,21.164021
530,18.550000,1.995000,30.075188
597,20.895000,2.345000,25.586354
671,23.485000,2.590000,23.166023
745,26.075000,2.590000,23.166023
801,28.035000,1.960000,30.612245
862,30.170000,2.135000,28.103044
914,31.990000,1.820000,32.967033
979,34.265000,2.275000,26.373626
1050,36.750000,2.485000,24.144869
1112,38.920000,2.170000,27.649770
1178,41.230000,2.310000,25.974026
1239,43.365000,2.135000,28.103044
1285,44.975000,1.610000,37.267081
1342,46.970000,1.995000,30.075188
1383,48.405000,1.435000,41.811847
1452,50.820000,2.415000,24.844720
1495,52.325000,1.505000,39.867110
