event_idx,t_s,dt_s,bpm_from_dt
33,1.155000,,
84,2.940000,1.785000,33.613445
133,4.655000,1.715000,34.985423
178,6.230000,1.575000,38.095238
227,7.945000,1.715000,34.985423
274,9.590000,1.645000,36.474164
314,10.990000,1.400000,42.857143
360,12.600000,1.610000,37.267081
397,13.895000,1.295000,46.332046
461,16.135000,2.240000,26.785714
514,17.990000,1.855000,32.345013
559,19.565000,1.575000,38.095238
607,21.245000,1.680000,35.714286
648,22.680000,1.435000,41.811847
700,24.500000,1.820000,32.967033
744,26.040000,1.540000,38.961039
787,27.545000,1.505000,39.867110
835,29.225000,1.680000,35.714286
893,31.255000,2.030000,29.556650
936,32.760000,1.505000,39.867110
985,34.475000,1.715000,34.985423
1035,36.225000,1.750000,34.285714
1084,37.940000,1.715000,34.985423
1145,40.075000,2.135000,28.103044
1191,41.685000,1.610000,37.267081
1242,43.470000,1.785000,33.613445
1285,44.975000,1.505000,39.867110
1343,47.005000,2.030000,29.556650
1387,48.545000,1.540000,38.961039
1434,50.190000,1.645000,36.474164
1485,51.975000,1.785000,33.613445
1534,53.690000,1.715000,34.985423
1583,55.405000,1.715000,34.985423
1635,57.225000,1.820000,32.967033
