event_idx,t_s,dt_s,bpm_from_dt
105,3.675000,,
168,5.880000,2.205000,27.210884
273,9.555000,3.675000,16.326531
334,11.690000,2.135000,28.103044
436,15.260000,3.570000,16.806723
514,17.990000,2.730000,21.978022
586,20.510000,2.520000,23.809524
710,24.850000,4.340000,13.824885
836,29.260000,4.410000,13.605442
955,33.425000,4.165000,14.405762
1049,36.715000,3.290000,18.237082
1124,39.340000,2.625000,22.857143
1193,41.755000,2.415000,24.844720
1260,44.100000,2.345000,25.586354
1383,48.405000,4.305000,13.937282
1499,52.465000,4.060000,14.778325
1562,54.670000,2.205000,27.210884
1641,57.435000,2.765000,21.699819
