event_idx,t_s,dt_s,bpm_from_dt
54,1.890000,,
160,5.600000,3.710000,16.172507
274,9.590000,3.990000,15.037594
401,14.035000,4.445000,13.498313
497,17.395000,3.360000,17.857143
573,20.055000,2.660000,22.556391
675,23.625000,3.570000,16.806723
748,26.180000,2.555000,23.483366
835,29.225000,3.045000,19.704433
910,31.850000,2.625000,22.857143
992,34.720000,2.870000,20.905923
1067,37.345000,2.625000,22.857143
1147,40.145000,2.800000,21.428571
1261,44.135000,3.990000,15.037594
1331,46.585000,2.450000,24.489796
1455,50.925000,4.340000,13.824885
1548,54.180000,3.255000,18.433180
