event_idx,t_s,dt_s,bpm_from_dt
151,5.285000,,
220,7.700000,2.415000,24.844720
300,10.500000,2.800000,21.428571
380,13.300000,2.800000,21.428571
482,16.870000,3.570000,16.806723
529,18.515000,1.645000,36.474164
600,21.000000,2.485000,24.144869
651,22.785000,1.785000,33.613445
708,24.780000,1.995000,30.075188
783,27.405000,2.625000,22.857143
851,29.785000,2.380000,25.210084
906,31.710000,1.925000,31.168831
977,34.195000,2.485000,24.144869
1048,36.680000,2.485000,24.144869
1110,38.850000,2.170000,27.649770
1152,40.320000,1.470000,40.816327
1200,42.000000,1.680000,35.714286
1267,44.345000,2.345000,25.586354
1311,45.885000,1.540000,38.961039
1395,48.825000,2.940000,20.408163
1437,50.295000,1.470000,40.816327
1481,51.835000,1.540000,38.961039
1522,53.270000,1.435000,41.811847
1563,54.705000,1.435000,41.811847
1604,56.140000,1.435000,41.811847
