event_idx,t_s,dt_s,bpm_from_dt
168,5.880000,,
244,8.540000,2.660000,22.556391
337,11.795000,3.255000,18.433180
401,14.035000,2.240000,26.785714
511,17.885000,3.850000,15.584416
576,20.160000,2.275000,26.373626
641,22.435000,2.275000,26.373626
724,25.340000,2.905000,20.654045
803,28.105000,2.765000,21.699819
884,30.940000,2.835000,21.164021
953,33.355000,2.415000,24.844720
1029,36.015000,2.660000,22.556391
1089,38.115000,2.100000,28.571429
1172,41.020000,2.905000,20.654045
1252,43.820000,2.800000,21.428571
1342,46.970000,3.150000,19.047619
1409,49.315000,2.345000,25.586354
1482,51.870000,2.555000,23.483366
1556,54.460000,2.590000,23.166023
