event_idx,t_s,dt_s,bpm_from_dt
92,3.220000,,
225,7.875000,4.655000,12.889366
321,11.235000,3.360000,17.857143
405,14.175000,2.940000,20.408163
540,18.900000,4.725000,12.698413
657,22.995000,4.095000,14.652015
771,26.985000,3.990000,15.037594
865,30.275000,3.290000,18.237082
996,34.860000,4.585000,13.086150
1091,38.185000,3.325000,18.045113
1164,40.740000,2.555000,23.483366
1315,46.025000,5.285000,11.352886
1387,48.545000,2.520000,23.809524
1501,52.535000,3.990000,15.037594
1572,55.020000,2.485000,24.144869
