event_idx,t_s,dt_s,bpm_from_dt
10,0.350000,,
113,3.955000,3.605000,16.643551
264,9.240000,5.285000,11.352886
362,12.670000,3.430000,17.492711
441,15.435000,2.765000,21.699819
538,18.830000,3.395000,17.673049
629,22.015000,3.185000,18.838305
747,26.145000,4.130000,14.527845
869,30.415000,4.270000,14.051522
969,33.915000,3.500000,17.142857
1068,37.380000,3.465000,17.316017
1161,40.635000,3.255000,18.433180
1269,44.415000,3.780000,15.873016
1354,47.390000,2.975000,20.168067
1449,50.715000,3.325000,18.045113
1552,54.320000,3.605000,16.643551
