event_idx,t_s,dt_s,bpm_from_dt
32,1.120000,,
160,5.600000,4.480000,13.392857
286,10.010000,4.410000,13.605442
423,14.805000,4.795000,12.513034
570,19.950000,5.145000,11.661808
673,23.555000,3.605000,16.643551
768,26.880000,3.325000,18.045113
869,30.415000,3.535000,16.973126
970,33.950000,3.535000,16.973126
1049,36.715000,2.765000,21.699819
1157,40.495000,3.780000,15.873016
1234,43.190000,2.695000,22.263451
1338,46.830000,3.640000,16.483516
1423,49.805000,2.975000,20.168067
1507,52.745000,2.940000,20.408163
1587,55.545000,2.800000,21.428571
