event_idx,t_s,dt_s,bpm_from_dt
78,2.730000,,
211,7.385000,4.655000,12.889366
296,10.360000,2.975000,20.168067
406,14.210000,3.850000,15.584416
523,18.305000,4.095000,14.652015
605,21.175000,2.870000,20.905923
701,24.535000,3.360000,17.857143
809,28.315000,3.780000,15.873016
912,31.920000,3.605000,16.643551
1033,36.155000,4.235000,14.167651
1137,39.795000,3.640000,16.483516
1217,42.595000,2.800000,21.428571
1324,46.340000,3.745000,16.021362
1422,49.770000,3.430000,17.492711
1519,53.165000,3.395000,17.673049
1637,57.295000,4.130000,14.527845
