event_idx,t_s,dt_s,bpm_from_dt
96,3.360000,,
150,5.250000,1.890000,31.746032
208,7.280000,2.030000,29.556650
270,9.450000,2.170000,27.649770
318,11.130000,1.680000,35.714286
365,12.775000,1.645000,36.474164
421,14.735000,1.960000,30.612245
475,16.625000,1.890000,31.746032
525,18.375000,1.750000,34.285714
580,20.300000,1.925000,31.168831
629,22.015000,1.715000,34.985423
684,23.940000,1.925000,31.168831
739,25.865000,1.925000,31.168831
797,27.895000,2.030000,29.556650
840,29.400000,1.505000,39.867110
899,31.465000,2.065000,29.055690
956,33.460000,1.995000,30.075188
1008,35.280000,1.820000,32.967033
1051,36.785000,1.505000,39.867110
1089,38.115000,1.330000,45.112782
1162,40.670000,2.555000,23.483366
1212,42.420000,1.750000,34.285714
1274,44.590000,2.170000,27.649770
1320,46.200000,1.610000,37.267081
1376,48.160000,1.960000,30.612245
1433,50.155000,1.995000,30.075188
1496,52.360000,2.205000,27.210884
1550,54.250000,1.890000,31.746032
1622,56.770000,2.520000,23.809524
