event_idx,t_s,dt_s,bpm_from_dt
44,1.540000,,
204,7.140000,5.600000,10.714286
335,11.725000,4.585000,13.086150
436,15.260000,3.535000,16.973126
532,18.620000,3.360000,17.857143
608,21.280000,2.660000,22.556391
712,24.920000,3.640000,16.483516
830,29.050000,4.130000,14.527845
930,32.550000,3.500000,17.142857
1006,35.210000,2.660000,22.556391
1107,38.745000,3.535000,16.973126
1225,42.875000,4.130000,14.527845
1326,46.410000,3.535000,16.973126
1399,48.965000,2.555000,23.483366
1532,53.620000,4.655000,12.889366
1645,57.575000,3.955000,15.170670
