event_idx,t_s,dt_s,bpm_from_dt
39,1.365000,,
123,4.305000,2.940000,20.408163
167,5.845000,1.540000,38.961039
223,7.805000,1.960000,30.612245
292,10.220000,2.415000,24.844720
351,12.285000,2.065000,29.055690
426,14.910000,2.625000,22.857143
474,16.590000,1.680000,35.714286
543,19.005000,2.415000,24.844720
609,21.315000,2.310000,25.974026
677,23.695000,2.380000,25.210084
743,26.005000,2.310000,25.974026
813,28.455000,2.450000,24.489796
883,30.905000,2.450000,24.489796
954,33.390000,2.485000,24.144869
1025,35.875000,2.485000,24.144869
1092,38.220000,2.345000,25.586354
1163,40.705000,2.485000,24.144869
1232,43.120000,2.415000,24.844720
1297,45.395000,2.275000,26.373626
1359,47.565000,2.170000,27.649770
1423,49.805000,2.240000,26.785714
1483,51.905000,2.100000,28.571429
1547,54.145000,2.240000,26.785714
