event_idx,t_s,dt_s,bpm_from_dt
114,3.990000,,
173,6.055000,2.065000,29.055690
240,8.400000,2.345000,25.586354
346,12.110000,3.710000,16.172507
398,13.930000,1.820000,32.967033
469,16.415000,2.485000,24.144869
534,18.690000,2.275000,26.373626
612,21.420000,2.730000,21.978022
713,24.955000,3.535000,16.973126
790,27.650000,2.695000,22.263451
893,31.255000,3.605000,16.643551
951,33.285000,2.030000,29.556650
1004,35.140000,1.855000,32.345013
1086,38.010000,2.870000,20.905923
1144,40.040000,2.030000,29.556650
1217,42.595000,2.555000,23.483366
1274,44.590000,1.995000,30.075188
1360,47.600000,3.010000,19.933555
1427,49.945000,2.345000,25.586354
1514,52.990000,3.045000,19.704433
