event_idx,t_s,dt_s,bpm_from_dt
84,2.940000,,
121,4.235000,1.295000,46.332046
185,6.475000,2.240000,26.785714
232,8.120000,1.645000,36.474164
295,10.325000,2.205000,27.210884
334,11.690000,1.365000,43.956044
392,13.720000,2.030000,29.556650
441,15.435000,1.715000,34.985423
483,16.905000,1.470000,40.816327
532,18.620000,1.715000,34.985423
581,20.335000,1.715000,34.985423
641,22.435000,2.100000,28.571429
704,24.640000,2.205000,27.210884
764,26.740000,2.100000,28.571429
811,28.385000,1.645000,36.474164
874,30.590000,2.205000,27.210884
943,33.005000,2.415000,24.844720
1003,35.105000,2.100000,28.571429
1069,37.415000,2.310000,25.974026
1127,39.445000,2.030000,29.556650
1173,41.055000,1.610000,37.267081
1254,43.890000,2.835000,21.164021
1300,45.500000,1.610000,37.267081
1368,47.880000,2.380000,25.210084
1425,49.875000,1.995000,30.075188
1471,51.485000,1.610000,37.267081
1510,52.850000,1.365000,43.956044
1579,55.265000,2.415000,24.844720
