event_idx,t_s,dt_s,bpm_from_dt
36,1.260000,,
112,3.920000,2.660000,22.556391
192,6.720000,2.800000,21.428571
295,10.325000,3.605000,16.643551
362,12.670000,2.345000,25.586354
432,15.120000,2.450000,24.489796
499,17.465000,2.345000,25.586354
568,19.880000,2.415000,24.844720
636,22.260000,2.380000,25.210084
710,24.850000,2.590000,23.166023
751,26.285000,1.435000,41.811847
824,28.840000,2.555000,23.483366
915,32.025000,3.185000,18.838305
981,34.335000,2.310000,25.974026
1057,36.995000,2.660000,22.556391
1138,39.830000,2.835000,21.164021
1207,42.245000,2.415000,24.844720
1248,43.680000,1.435000,41.811847
1289,45.115000,1.435000,41.811847
1357,47.495000,2.380000,25.210084
1429,50.015000,2.520000,23.809524
1494,52.290000,2.275000,26.373626
1563,54.705000,2.415000,24.844720
