event_idx,t_s,dt_s,bpm_from_dt
76,2.660000,,
118,4.130000,1.470000,40.816327
157,5.495000,1.365000,43.956044
202,7.070000,1.575000,38.095238
247,8.645000,1.575000,38.095238
281,9.835000,1.190000,50.420168
324,11.340000,1.505000,39.867110
365,12.775000,1.435000,41.811847
408,14.280000,1.505000,39.867110
463,16.205000,1.925000,31.168831
507,17.745000,1.540000,38.961039
544,19.040000,1.295000,46.332046
584,20.440000,1.400000,42.857143
622,21.770000,1.330000,45.112782
656,22.960000,1.190000,50.420168
717,25.095000,2.135000,28.103044
757,26.495000,1.400000,42.857143
793,27.755000,1.260000,47.619048
845,29.575000,1.820000,32.967033
907,31.745000,2.170000,27.649770
954,33.390000,1.645000,36.474164
997,34.895000,1.505000,39.867110
1039,36.365000,1.470000,40.816327
1089,38.115000,1.750000,34.285714
1127,39.445000,1.330000,45.112782
1171,40.985000,1.540000,38.961039
1219,42.665000,1.680000,35.714286
1262,44.170000,1.505000,39.867110
1302,45.570000,1.400000,42.857143
1345,47.075000,1.505000,39.867110
1393,48.755000,1.680000,35.714286
1456,50.960000,2.205000,27.210884
