event_idx,t_s,dt_s,bpm_from_dt
68,2.380000,,
153,5.355000,2.975000,20.168067
226,7.910000,2.555000,23.483366
327,11.445000,3.535000,16.973126
389,13.615000,2.170000,27.649770
469,16.415000,2.800000,21.428571
528,18.480000,2.065000,29.055690
625,21.875000,3.395000,17.673049
695,24.325000,2.450000,24.489796
770,26.950000,2.625000,22.857143
833,29.155000,2.205000,27.210884
921,32.235000,3.080000,19.480519
1022,35.770000,3.535000,16.973126
1129,39.515000,3.745000,16.021362
1225,42.875000,3.360000,17.857143
1310,45.850000,2.975000,20.168067
1400,49.000000,3.150000,19.047619
1460,51.100000,2.100000,28.571429
1573,55.055000,3.955000,15.170670
