event_idx,t_s,dt_s,bpm_from_dt
14,0.490000,,
115,4.025000,3.535000,16.973126
188,6.580000,2.555000,23.483366
250,8.750000,2.170000,27.649770
343,12.005000,3.255000,18.433180
400,14.000000,1.995000,30.075188
482,16.870000,2.870000,20.905923
562,19.670000,2.800000,21.428571
653,22.855000,3.185000,18.838305
749,26.215000,3.360000,17.857143
840,29.400000,3.185000,18.838305
920,32.200000,2.800000,21.428571
1005,35.175000,2.975000,20.168067
1091,38.185000,3.010000,19.933555
1154,40.390000,2.205000,27.210884
1213,42.455000,2.065000,29.055690
1290,45.150000,2.695000,22.263451
1380,48.300000,3.150000,19.047619
1432,50.120000,1.820000,32.967033
1550,54.250000,4.130000,14.527845
