event_idx,t_s,dt_s,bpm_from_dt
13,0.455000,,
121,4.235000,3.780000,15.873016
190,6.650000,2.415000,24.844720
277,9.695000,3.045000,19.704433
376,13.160000,3.465000,17.316017
468,16.380000,3.220000,18.633540
533,18.655000,2.275000,26.373626
659,23.065000,4.410000,13.605442
792,27.720000,4.655000,12.889366
858,30.030000,2.310000,25.974026
981,34.335000,4.305000,13.937282
1066,37.310000,2.975000,20.168067
1169,40.915000,3.605000,16.643551
1267,44.345000,3.430000,17.492711
1386,48.510000,4.165000,14.405762
1477,51.695000,3.185000,18.838305
1571,54.985000,3.290000,18.237082
