event_idx,t_s,dt_s,bpm_from_dt
67,2.345000,,
129,4.515000,2.170000,27.649770
198,6.930000,2.415000,24.844720
240,8.400000,1.470000,40.816327
316,11.060000,2.660000,22.556391
359,12.565000,1.505000,39.867110
427,14.945000,2.380000,25.210084
503,17.605000,2.660000,22.556391
579,20.265000,2.660000,22.556391
651,22.785000,2.520000,23.809524
715,25.025000,2.240000,26.785714
789,27.615000,2.590000,23.166023
859,30.065000,2.450000,24.489796
928,32.480000,2.415000,24.844720
994,34.790000,2.310000,25.974026
1063,37.205000,2.415000,24.844720
1149,40.215000,3.010000,19.933555
1221,42.735000,2.520000,23.809524
1300,45.500000,2.765000,21.699819
1341,46.935000,1.435000,41.811847
1416,49.560000,2.625000,22.857143
1490,52.150000,2.590000,23.166023
