event_idx,t_s,dt_s,bpm_from_dt
21,0.735000,,
93,3.255000,2.520000,23.809524
182,6.370000,3.115000,19.261637
283,9.905000,3.535000,16.973126
389,13.615000,3.710000,16.172507
458,16.030000,2.415000,24.844720
582,20.370000,4.340000,13.824885
704,24.640000,4.270000,14.051522
785,27.475000,2.835000,21.164021
869,30.415000,2.940000,20.408163
1002,35.070000,4.655000,12.889366
1073,37.555000,2.485000,24.144869
1147,40.145000,2.590000,23.166023
1225,42.875000,2.730000,21.978022
1307,45.745000,2.870000,20.905923
1445,50.575000,4.830000,12.422360
1561,54.635000,4.060000,14.778325
