event_idx,t_s,dt_s,bpm_from_dt
28,0.980000,,
89,3.115000,2.135000,28.103044
160,5.600000,2.485000,24.144869
249,8.715000,3.115000,19.261637
356,12.460000,3.745000,16.021362
446,15.610000,3.150000,19.047619
531,18.585000,2.975000,20.168067
633,22.155000,3.570000,16.806723
703,24.605000,2.450000,24.489796
789,27.615000,3.010000,19.933555
846,29.610000,1.995000,30.075188
931,32.585000,2.975000,20.168067
1027,35.945000,3.360000,17.857143
1120,39.200000,3.255000,18.433180
1216,42.560000,3.360000,17.857143
1308,45.780000,3.220000,18.633540
1392,48.720000,2.940000,20.408163
1481,51.835000,3.115000,19.261637
