event_idx,t_s,dt_s,bpm_from_dt
24,0.840000,,
93,3.255000,2.415000,24.844720
173,6.055000,2.800000,21.428571
262,9.170000,3.115000,19.261637
352,12.320000,3.150000,19.047619
426,14.910000,2.590000,23.166023
510,17.850000,2.940000,20.408163
603,21.105000,3.255000,18.433180
688,24.080000,2.975000,20.168067
791,27.685000,3.605000,16.643551
878,30.730000,3.045000,19.704433
934,32.690000,1.960000,30.612245
1062,37.170000,4.480000,13.392857
1131,39.585000,2.415000,24.844720
1233,43.155000,3.570000,16.806723
1330,46.550000,3.395000,17.673049
1392,48.720000,2.170000,27.649770
1462,51.170000,2.450000,24.489796
