event_idx,t_s,dt_s,bpm_from_dt
59,2.065000,,
99,3.465000,1.400000,42.857143
141,4.935000,1.470000,40.816327
200,7.000000,2.065000,29.055690
239,8.365000,1.365000,43.956044
282,9.870000,1.505000,39.867110
356,12.460000,2.590000,23.166023
394,13.790000,1.330000,45.112782
443,15.505000,1.715000,34.985423
501,17.535000,2.030000,29.556650
549,19.215000,1.680000,35.714286
588,20.580000,1.365000,43.956044
635,22.225000,1.645000,36.474164
684,23.940000,1.715000,34.985423
725,25.375000,1.435000,41.811847
772,27.020000,1.645000,36.474164
825,28.875000,1.855000,32.345013
875,30.625000,1.750000,34.285714
912,31.920000,1.295000,46.332046
955,33.425000,1.505000,39.867110
1014,35.490000,2.065000,29.055690
1069,37.415000,1.925000,31.168831
1127,39.445000,2.030000,29.556650
1176,41.160000,1.715000,34.985423
1222,42.770000,1.610000,37.267081
1289,45.115000,2.345000,25.586354
1329,46.515000,1.400000,42.857143
1393,48.755000,2.240000,26.785714
1451,50.785000,2.030000,29.556650
1492,52.220000,1.435000,41.811847
1544,54.040000,1.820000,32.967033
1578,55.230000,1.190000,50.420168
1632,57.120000,1.890000,31.746032
